Station Name,Latitude,Longitude,geometry
21 St & 23 Ave,222902.14660198707,1006667.2090901328,POINT (1006667.2090901328 222902.14660198707)
21 St & 31 Dr,218304.83160224385,1003367.059140425,POINT (1003367.059140425 218304.83160224385)
21 St & 36 Ave,216230.1043176154,1001893.2172246382,POINT (1001893.2172246382 216230.1043176154)
21 St & 38 Ave,215361.090252434,1001118.9303109138,POINT (1001118.9303109138 215361.090252434)
21 St & 4 Ave,180693.34637203987,985490.0274690472,POINT (985490.0274690472 180693.34637203987)
21 St & 43 Ave,212716.17979061004,999266.9249979228,POINT (999266.9249979228 212716.17979061004)
21 St & Hoyt Ave S,221518.8918520282,1005372.1548347629,POINT (1005372.1548347629 221518.8918520282)
21 St & Queens Plaza North,218793.52540639183,993440.4085305508,POINT (993440.4085305508 218793.52540639183)
23 Ave & 27 St,222054.6204310616,1007724.3304907643,POINT (1007724.3304907643 222054.6204310616)
23 Ave & 31 St,221363.05320416606,1008416.1403470745,POINT (1008416.1403470745 221363.05320416606)
23 Ave & 83 St,218539.35634646873,1015623.4748482736,POINT (1015623.4748482736 218539.35634646873)
23 Rd & 31 St,221041.037533987,1008154.2167329731,POINT (1008154.2167329731 221041.037533987)
23 St & 3 Ave,180683.58403247682,984632.0181615055,POINT (984632.0181615055 180683.58403247682)
23 St & 31 Ave,218592.56712504354,1004011.5103914811,POINT (1004011.5103914811 218592.56712504354)
24 Ave & 26 St,221529.58896661107,1006782.0905317536,POINT (1006782.0905317536 221529.58896661107)
24 Ave & 29 St,220876.47129582186,1007476.7394464193,POINT (1007476.7394464193 220876.47129582186)
24 Ave & 87 St,218144.7162478596,1016713.0298062392,POINT (1016713.0298062392 218144.7162478596)
24 Ave & 92 St,218338.3000664348,1018016.4354682462,POINT (1018016.4354682462 218338.3000664348)
24 St & 38 Ave,214826.12373930562,1001885.1558905294,POINT (1001885.1558905294 214826.12373930562)
24 St & 41 Ave,213398.22189128608,1000846.8848052106,POINT (1000846.8848052106 213398.22189128608)
24 St & 5 Ave,179528.00640094694,985678.8129227686,POINT (985678.8129227686 179528.00640094694)
25 Ave & 41 St,219000.93945336936,1008873.0451822932,POINT (1008873.0451822932 219000.93945336936)
25 Ave & 85 St,217407.17835755702,1016337.7840918606,POINT (1016337.7840918606 217407.17835755702)
25 Ave & 96 St,217819.25014505498,1019239.4586490534,POINT (1019239.4586490534 217819.25014505498)
27 Ave & 3 St,221587.57189347775,1002508.9262121465,POINT (1002508.9262121465 221587.57189347775)
27 Ave & 9 St,221246.5105852678,1003473.6342042526,POINT (1003473.6342042526 221246.5105852678)
27 St & Hunter St,212068.6370798342,1000450.4399775184,POINT (1000450.4399775184 212068.6370798342)
28 Ave & 35 St,218763.12050280345,1007245.028232171,POINT (1007245.028232171 218763.12050280345)
28 Ave & 44 St,217696.74445582426,1008976.8050895811,POINT (1008976.8050895811 217696.74445582426)
28 St & 36 Ave,215145.66235541104,1002884.8562886533,POINT (1002884.8562886533 215145.66235541104)
28 St & 41 Ave,212834.28097780037,1001434.5972409318,POINT (1001434.5972409318 212834.28097780037)
29 St & 5 Ave,178634.2373679417,984751.0849230543,POINT (984751.0849230543 178634.2373679417)
3 Ave & 14 St,182949.9062402988,986075.3779770802,POINT (986075.3779770802 182949.9062402988)
3 Ave & 17 St,181956.63514758783,985491.4155183793,POINT (985491.4155183793 181956.63514758783)
3 Ave & Carroll St,185936.04716795115,987994.5629042671,POINT (987994.5629042671 185936.04716795115)
3 Ave & E 100 St,226269.64943065884,998848.0348815237,POINT (998848.0348815237 226269.64943065884)
3 Ave & E 109 St,228331.96095155797,999952.5126732849,POINT (999952.5126732849 228331.96095155797)
3 Ave & E 112 St,229125.4073864616,1000447.4371235707,POINT (1000447.4371235707 229125.4073864616)
3 Ave & E 163 St,239425.32644237138,1009425.4079034037,POINT (1009425.4079034037 239425.32644237138)
3 Ave & E 169 St,242658.74967601502,1010495.4820437937,POINT (1010495.4820437937 242658.74967601502)
3 Ave & E 170 St,243474.96886395634,1010902.445353352,POINT (1010902.445353352 243474.96886395634)
3 Ave & E 172 St,245141.58615614526,1011822.0912974209,POINT (1011822.0912974209 245141.58615614526)
3 Ave & E 174 St,246116.78080234342,1012320.1623079105,POINT (1012320.1623079105 246116.78080234342)
3 Ave & E 189 St,252522.71062919952,1014268.7392505162,POINT (1014268.7392505162 252522.71062919952)
3 Ave & E 62 St,217387.48281383372,993810.9315423205,POINT (993810.9315423205 217387.48281383372)
3 Ave & E 71 St,219278.36165009753,995020.0580250984,POINT (995020.0580250984 219278.36165009753)
3 Ave & E 72 St,219863.55945108837,995207.8126205457,POINT (995207.8126205457 219863.55945108837)
3 Ave & E Tremont Ave,247690.63799237,1012984.4745714278,POINT (1012984.4745714278 247690.63799237)
3 Ave & Franklin Ave,240589.6905410681,1009870.5743532279,POINT (1009870.5743532279 240589.6905410681)
3 Ave & Schermerhorn St,189545.13410344982,989884.1211830603,POINT (989884.1211830603 189545.13410344982)
3 Ave & Wakeman Pl,171807.67591887273,977390.9418327325,POINT (977390.9418327325 171807.67591887273)
3 St & 3 Ave,185223.1847126754,987647.3162422752,POINT (987647.3162422752 185223.1847126754)
3 St & 7 Ave,183513.37585696805,990260.9006084603,POINT (990260.9006084603 183513.37585696805)
3 St & Hoyt St,186191.4677058672,986013.7328610491,POINT (986013.7328610491 186191.4677058672)
3 St & Prospect Park West,182696.15885529743,991563.0780392947,POINT (991563.0780392947 182696.15885529743)
30 Ave & 12 St,220502.69725145682,1003143.6718105061,POINT (1003143.6718105061 220502.69725145682)
30 Ave & 21 St,219958.97391598046,1004012.7420095658,POINT (1004012.7420095658 219958.97391598046)
30 Ave & 41 St,217422.5552753504,1008107.1579269556,POINT (1008107.1579269556 217422.5552753504)
30 Ave & 47 St,216673.53940073008,1009277.0460089649,POINT (1009277.0460089649 216673.53940073008)
30 Ave & 70 St,216230.4282996019,1012718.313294209,POINT (1012718.313294209 216230.4282996019)
30 Ave & 80 St,216576.11576104155,1015139.3768187261,POINT (1015139.3768187261 216576.11576104155)
30 Ave & 96 St,216504.25657168866,1019410.3427595802,POINT (1019410.3427595802 216504.25657168866)
30 St & 4 Ave,178923.354436044,983902.898463847,POINT (983902.898463847 178923.354436044)
30 St & 48 Ave,209368.4288322833,1001430.9821635097,POINT (1001430.9821635097 209368.4288322833)
31 Ave & 103 St,216681.78059879574,1021188.596213198,POINT (1021188.596213198 216681.78059879574)
31 Ave & 14 St,219175.36029754882,1003010.2783516386,POINT (1003010.2783516386 219175.36029754882)
31 Ave & 30 St,217886.94721315068,1005294.196742116,POINT (1005294.196742116 217886.94721315068)
31 Ave & 34 St,217307.38420266495,1006190.4051401293,POINT (1006190.4051401293 217307.38420266495)
31 Ave & 57 St,215172.08138806556,1010686.994081512,POINT (1010686.994081512 215172.08138806556)
31 Ave & 61 St,215278.2785942757,1011515.3683854983,POINT (1011515.3683854983 215278.2785942757)
31 Ave & 84 St,215973.64936583064,1016224.9178133544,POINT (1016224.9178133544 215973.64936583064)
31 Ave & 86 St,216047.69632681925,1016905.4316597809,POINT (1016905.4316597809 216047.69632681925)
31 Ave & Crescent St,218299.72211279054,1004596.8325218991,POINT (1004596.8325218991 218299.72211279054)
31 Ave & Steinway St,216695.21090656857,1007309.0210929308,POINT (1007309.0210929308 216695.21090656857)
31 Pl & Hunters Point Ave,208991.5506670213,1002138.9456404765,POINT (1002138.9456404765 208991.5506670213)
31 St & 21 Ave,222784.0782955752,1009613.5701454228,POINT (1009613.5701454228 222784.0782955752)
31 St & Astoria Blvd,219789.29249668037,1006850.7568512065,POINT (1006850.7568512065 219789.29249668037)
31 St & Broadway,216729.7252372177,1004786.350729233,POINT (1004786.350729233 216729.7252372177)
31 St & Ditmars Blvd,222068.66483117957,1009042.3863533518,POINT (1009042.3863533518 222068.66483117957)
31 St & Hoyt Ave N,220242.04280317,1007234.6921532481,POINT (1007234.6921532481 220242.04280317)
31 St & Newtown Ave,218807.90131668016,1006133.2424672073,POINT (1006133.2424672073 218807.90131668016)
31 St & Northern Blvd,213210.25530602332,1002676.741913261,POINT (1002676.741913261 213210.25530602332)
31 St & Thomson Ave,210554.39676162976,1002072.848956213,POINT (1002072.848956213 210554.39676162976)
32 Ave & 75 St,215099.79560971766,1014040.3261217405,POINT (1014040.3261217405 215099.79560971766)
32 Ave & 77 St,215189.91049412053,1014658.1545489483,POINT (1014658.1545489483 215189.91049412053)
32 Ave & 81 St,215322.6872370215,1015622.3914276129,POINT (1015622.3914276129 215322.6872370215)
32 Ave & 84 St,215432.59787662275,1016383.8125672962,POINT (1016383.8125672962 215432.59787662275)
33 St & 47 Ave,209904.0239292795,1003072.6176535407,POINT (1003072.6176535407 209904.0239292795)
33 St & Queens Blvd,210476.61210201107,1003168.9826087629,POINT (1003168.9826087629 210476.61210201107)
34 Ave & 108 St,214789.76647165976,1022803.8978972388,POINT (1022803.8978972388 214789.76647165976)
34 Ave & 113 St,215088.21756028212,1024087.2663404341,POINT (1024087.2663404341 215088.21756028212)
34 Ave & 13 St,217603.12169944085,1001845.1285167247,POINT (1001845.1285167247 217603.12169944085)
34 Ave & 21 St,217197.43923265106,1002453.9542203349,POINT (1002453.9542203349 217197.43923265106)
34 Ave & 31 St,216029.74855282693,1004433.4274331494,POINT (1004433.4274331494 216029.74855282693)
34 Ave & 38 St,215050.48251611553,1005961.619251137,POINT (1005961.619251137 215050.48251611553)
34 Ave & 45 St,214280.00966335202,1007241.4641664131,POINT (1007241.4641664131 214280.00966335202)
34 Ave & 48 St,213947.1957827892,1007813.0714756189,POINT (1007813.0714756189 213947.1957827892)
34 Ave & 71 St,213475.80647681953,1013236.1998683291,POINT (1013236.1998683291 213475.80647681953)
34 Ave & 74 St,213622.5549491288,1014072.7490558678,POINT (1014072.7490558678 213622.5549491288)
34 Ave & 83 St,213892.11392792192,1016305.3421967644,POINT (1016305.3421967644 213892.11392792192)
34 Ave & 89 St,214137.67837623417,1017959.2307980687,POINT (1017959.2307980687 214137.67837623417)
34 Ave & Junction Blvd,214376.65238612614,1019477.1484778607,POINT (1019477.1484778607 214376.65238612614)
34 St & 35 Ave,215050.55695050876,1004672.5761875466,POINT (1004672.5761875466 215050.55695050876)
34 St & 38 Ave,213420.0093191975,1003717.203863278,POINT (1003717.203863278 213420.0093191975)
34 St & 4 Ave,177996.88763666453,983423.0443306557,POINT (983423.0443306557 177996.88763666453)
34 St & 48 Ave,209213.02424318902,1003240.8367671717,POINT (1003240.8367671717 209213.02424318902)
34 St & 5 Ave,177600.52229370835,983929.2448512296,POINT (983929.2448512296 177600.52229370835)
34th Ave & Vernon Blvd,218121.73027681414,1000908.394213828,POINT (1000908.394213828 218121.73027681414)
35 Ave & 10 St,217319.69254930408,1000872.9330950023,POINT (1000872.9330950023 217319.69254930408)
35 Ave & 37 St,214658.40795894735,1005475.5899087002,POINT (1005475.5899087002 214658.40795894735)
35 St & 21 Ave,222305.76336504007,1010128.5412797675,POINT (1010128.5412797675 222305.76336504007)
35 St & 23 Ave,220919.0969032958,1008820.7124214822,POINT (1008820.7124214822 220919.0969032958)
35 St & 30 Ave,218171.0376139727,1006932.5706944127,POINT (1006932.5706944127 218171.0376139727)
35 St & 34 Ave,215467.10537005487,1005228.7254789424,POINT (1005228.7254789424 215467.10537005487)
35 St & Broadway,216281.0480711439,1005755.0449738643,POINT (1005755.0449738643 216281.0480711439)
36 Ave & 10 St,216694.69302944466,1000559.3922187139,POINT (1000559.3922187139 216694.69302944466)
36 Ave & 31 St,214873.22818931285,1003836.2954684949,POINT (1003836.2954684949 214873.22818931285)
36 St & 3 Ave,178171.60013632526,982400.9662746435,POINT (982400.9662746435 178171.60013632526)
36 St & 4 Ave,177636.37731734203,983085.4806178244,POINT (983085.4806178244 177636.37731734203)
36 St & 47 Ave,209694.92430751142,1003827.00280008,POINT (1003827.00280008 209694.92430751142)
36 St & Ditmars Blvd,221343.29610458188,1009703.2430825491,POINT (1009703.2430825491 221343.29610458188)
36 St & Hunters Point Ave,208123.2906329589,1003587.8064139872,POINT (1003587.8064139872 208123.2906329589)
36 St & Queens Blvd,210366.11119793262,1003911.7834065347,POINT (1003911.7834065347 210366.11119793262)
37 Ave & 106 St,214018.66609163434,1022523.5055110378,POINT (1022523.5055110378 214018.66609163434)
37 Ave & 113 St,214275.569594853,1024379.7043357694,POINT (1024379.7043357694 214275.569594853)
37 Ave & 35 St,213658.1921276352,1004220.3371619077,POINT (1004220.3371619077 213658.1921276352)
37 Ave & 63 St,212207.51730289878,1011969.2849822036,POINT (1011969.2849822036 212207.51730289878)
37 St & 24 Ave,219874.82149924367,1008599.0075427503,POINT (1008599.0075427503 219874.82149924367)
38 Ave & 29 St,214273.4661069958,1002600.8633932957,POINT (1002600.8633932957 214273.4661069958)
38 St & 30 Ave,217659.67053859276,1007549.3686996872,POINT (1007549.3686996872 217659.67053859276)
38 St & Northern Blvd,213395.14230969246,1004923.281053758,POINT (1004923.281053758 213395.14230969246)
39 Ave & 45 St,212342.61297097112,1006896.7735347451,POINT (1006896.7735347451 212342.61297097112)
39 Ave & 54 St,212135.34354603256,1009475.9455491327,POINT (1009475.9455491327 212135.34354603256)
39 Ave & 56 St,211940.06387135875,1010043.7124710681,POINT (1010043.7124710681 211940.06387135875)
39 Ave & 99 St,212423.07671514247,1021098.4354477318,POINT (1021098.4354477318 212423.07671514247)
39 Dr & 52 St,211569.06425072925,1008657.1013058565,POINT (1008657.1013058565 211569.06425072925)
39 St & 47 Ave,209672.96511584107,1004582.1687253977,POINT (1004582.1687253977 209672.96511584107)
39 St & 50 Ave,208249.3469733871,1004375.983385306,POINT (1004375.983385306 208249.3469733871)
39 St & Queens Blvd,210457.74738127456,1004752.3245671733,POINT (1004752.3245671733 210457.74738127456)
4 Ave & 17 St,181546.65293914554,986264.0621316058,POINT (986264.0621316058 181546.65293914554)
4 Ave & 26 St,179804.71003866507,984652.4036279237,POINT (984652.4036279237 179804.71003866507)
4 Ave & 3 St,184740.72049978026,988230.8087510692,POINT (988230.8087510692 184740.72049978026)
4 Ave & E 12 St,206199.98814532402,986990.9039654374,POINT (986990.9039654374 206199.98814532402)
4 Ave & Shore Road Dr,171353.30489084678,978101.2983935185,POINT (978101.2983935185 171353.30489084678)
40 Ave & 9 St,215230.2298884401,999450.406014521,POINT (999450.406014521 215230.2298884401)
40 Ave & Crescent St,213846.73973855117,1001404.4525835988,POINT (1001404.4525835988 213846.73973855117)
40 St & Queens Blvd,210159.9864911525,1005208.6260140085,POINT (1005208.6260140085 210159.9864911525)
41 Ave & 67 St,210549.11285468945,1012680.3554731274,POINT (1012680.3554731274 210549.11285468945)
41 Ave & 77 St,210909.55434117405,1015264.1541180161,POINT (1015264.1541180161 210909.55434117405)
41 Ave & 80 St,211034.60902208794,1016007.254095288,POINT (1016007.254095288 211034.60902208794)
41 St & 3 Ave,176944.17607803163,981784.1906113939,POINT (981784.1906113939 176944.17607803163)
41 St & 4 Ave,176582.4103004189,982260.9972119319,POINT (982260.9972119319 176582.4103004189)
42 Ave & 108 St,212350.04622165102,1023616.8373193317,POINT (1023616.8373193317 212350.04622165102)
42 Pl & Northern Blvd,213616.6408113633,1006238.9249443233,POINT (1006238.9249443233 213616.6408113633)
43 Ave & 111 St,212398.9044639677,1024524.5400929718,POINT (1024524.5400929718 212398.9044639677)
43 Ave & 40 St,210935.4965973633,1005303.3322774244,POINT (1005303.3322774244 210935.4965973633)
43 Ave & 42 St,210802.2340621299,1005873.8314989744,POINT (1005873.8314989744 210802.2340621299)
43 Ave & 47 St,210646.711208047,1007247.6510475969,POINT (1007247.6510475969 210646.711208047)
43 St & 23 Ave,219703.62464337322,1010282.1245997428,POINT (1010282.1245997428 219703.62464337322)
43 St & 35 Ave,214125.82035424112,1006555.8255598468,POINT (1006555.8255598468 214125.82035424112)
43 St & 37 Ave,212598.21323503193,1006416.2728720193,POINT (1006416.2728720193 212598.21323503193)
43 St & 50 Ave,208163.70596137104,1005678.7001657238,POINT (1005678.7001657238 208163.70596137104)
43 St & Broadway,215325.29454467059,1007317.8529124372,POINT (1007317.8529124372 215325.29454467059)
43 St & Skillman Ave,211466.62298605772,1006176.365413992,POINT (1006176.365413992 211466.62298605772)
44 Dr & Jackson Ave,211500.6549706817,999970.7546327891,POINT (999970.7546327891 211500.6549706817)
44 St & 3 Ave,176596.15438964093,981080.2444659295,POINT (981080.2444659295 176596.15438964093)
44 St & 48 Ave,208675.0660535515,1006053.5992684192,POINT (1006053.5992684192 208675.0660535515)
44 St & 6 Ave,175044.96393477556,983014.7345880019,POINT (983014.7345880019 175044.96393477556)
44 St & Greenpoint Ave,209255.33496633024,1006130.5998560402,POINT (1006130.5998560402 209255.33496633024)
45 Ave & 21 St,211568.5208667933,998721.2048170501,POINT (998721.2048170501 211568.5208667933)
45 Rd & 11 St,211464.39831002103,998167.273551937,POINT (998167.273551937 211464.39831002103)
45 St & 4 Ave,175796.82003502912,981661.5494557816,POINT (981661.5494557816 175796.82003502912)
46 Ave & 5 St,211545.33922499855,996854.494964951,POINT (996854.494964951 211545.33922499855)
46 Ave & Junction Blvd,210361.10912219723,1020871.5280288127,POINT (1020871.5280288127 210361.10912219723)
46 St & 25 Ave,218270.9214968864,1010066.6036882537,POINT (1010066.6036882537 218270.9214968864)
46 St & 28 Ave,217272.969342766,1009595.8949952716,POINT (1009595.8949952716 217272.969342766)
46 St & 30 Rd,216432.92667825494,1008895.630936607,POINT (1008895.630936607 216432.92667825494)
46 St & 6 Ave,174628.99782693916,982674.3417251991,POINT (982674.3417251991 174628.99782693916)
46 St & 7 Ave,174196.43772452205,983213.2171893163,POINT (983213.2171893163 174196.43772452205)
46 St & Queens Blvd,210190.39219862965,1006806.9628278124,POINT (1006806.9628278124 210190.39219862965)
47 Ave & 104 St,211023.19319903746,1023195.0411328961,POINT (1023195.0411328961 211023.19319903746)
47 Ave & 109 St,211564.1238192491,1024460.1613887446,POINT (1024460.1613887446 211564.1238192491)
47 Ave & 31 St,209978.3635960816,1002092.5469240927,POINT (1002092.5469240927 209978.3635960816)
47 Ave & 48 St,209201.3491319418,1007254.7381998185,POINT (1007254.7381998185 209201.3491319418)
47 Ave & Skillman Ave,210251.2928793074,1000386.8462749666,POINT (1000386.8462749666 210251.2928793074)
47 St & 3 Ave,175774.77190307865,980827.0466690586,POINT (980827.0466690586 175774.77190307865)
48 Ave & 37 St,209024.03705177555,1003928.1351979965,POINT (1003928.1351979965 209024.03705177555)
48 Ave & 41 St,208836.92966369176,1005309.8001727412,POINT (1005309.8001727412 208836.92966369176)
48 Ave & 5 St,210487.4194276254,996474.024040556,POINT (996474.024040556 210487.4194276254)
48 St & 2 Ave,176149.1165572428,979933.0680951019,POINT (979933.0680951019 176149.1165572428)
48 St & 37 Ave,213122.73863577493,1007811.6809500855,POINT (1007811.6809500855 213122.73863577493)
48 St & 5 Ave,174757.46724321385,981646.9183645415,POINT (981646.9183645415 174757.46724321385)
48 St & 50 Ave,207931.25474928267,1006965.9279769673,POINT (1006965.9279769673 207931.25474928267)
48 St & Barnett Ave,212539.44361354367,1007687.6923440798,POINT (1007687.6923440798 212539.44361354367)
48 St & Broadway,214633.8432919342,1008432.1642674773,POINT (1008432.1642674773 214633.8432919342)
48 St & Skillman Ave,211151.06110089316,1007494.9419823324,POINT (1007494.9419823324 211151.06110089316)
49 Ave & 108 St,210899.07659898695,1024212.5656052817,POINT (1024212.5656052817 210899.07659898695)
49 Ave & 21 St,209823.82924439415,998392.7073301203,POINT (998392.7073301203 209823.82924439415)
49 St & 25 Ave,217817.87435974387,1010661.2270321188,POINT (1010661.2270321188 217817.87435974387)
49 St & 31 Ave,215516.0545229734,1009250.0690981372,POINT (1009250.0690981372 215516.0545229734)
5 Av & W 139 St,236386.63269862588,1002005.0357926615,POINT (1002005.0357926615 236386.63269862588)
5 Ave & 3 St,184401.81728363235,988820.4525524669,POINT (988820.4525524669 184401.81728363235)
5 Ave & 37 St,177037.09437076616,983566.4725225099,POINT (983566.4725225099 177037.09437076616)
5 Ave & 67 St,170872.1154364402,978697.6548246857,POINT (978697.6548246857 170872.1154364402)
