Station Name,Latitude,Longitude,geometry
1 Ave & E 110 St,227939.73722703313,1001363.2313017094,POINT (1001363.2313017094 227939.73722703313)
1 Ave & E 16 St,206023.8823141795,989309.3602337887,POINT (989309.3602337887 206023.8823141795)
1 Ave & E 18 St,206624.95595442527,989641.9236907957,POINT (989641.9236907957 206624.95595442527)
1 Ave & E 30 St,209450.22370534658,991089.6942454943,POINT (991089.6942454943 209450.22370534658)
1 Ave & E 39 St,211481.43599137443,992249.3727806199,POINT (992249.3727806199 211481.43599137443)
1 Ave & E 44 St,212514.07712486805,992841.3486605447,POINT (992841.3486605447 212514.07712486805)
1 Ave & E 6 St,211600.16274599562,992420.5296338622,POINT (992420.5296338622 211600.16274599562)
1 Ave & E 62 St,216702.549657189,995110.8615813497,POINT (995110.8615813497 216702.549657189)
1 Ave & E 68 St,217959.537156775,995825.5621524354,POINT (995825.5621524354 217959.537156775)
1 Ave & E 94 St,224054.37146489415,999223.1314006019,POINT (999223.1314006019 224054.37146489415)
1 Pl & Clinton St,187378.0616508722,984472.0646158928,POINT (984472.0646158928 187378.0616508722)
1 St & 6 Ave,184390.5580313447,989846.1342622027,POINT (989846.1342622027 184390.5580313447)
10 Ave & W 14 St,209576.5527293366,981962.3455687751,POINT (981962.3455687751 209576.5527293366)
10 Ave & W 202 St,253008.31052295762,1005926.0810072537,POINT (1005926.0810072537 253008.31052295762)
10 Ave & W 204 St,253613.9603135943,1006386.8427199232,POINT (1006386.8427199232 253613.9603135943)
10 Ave & W 207 St,254314.35410783408,1006764.2695994041,POINT (1006764.2695994041 254314.35410783408)
10 Ave & W 215 St,256007.6303697779,1007704.3185128008,POINT (1007704.3185128008 256007.6303697779)
10 Ave & W 28 St,212763.9569965991,983760.0570727234,POINT (983760.0570727234 212763.9569965991)
10 St & 2 Ave,184070.45195572288,986021.9994833743,POINT (986021.9994833743 184070.45195572288)
10 St & 4 Ave,183256.87642661895,987304.4917406772,POINT (987304.4917406772 183256.87642661895)
10 St & 5 Ave,182875.76904796573,987856.1878831123,POINT (987856.1878831123 182875.76904796573)
10 St & 7 Ave,182006.8147568659,989259.1518717769,POINT (989259.1518717769 182006.8147568659)
100 St & 37 Ave,213397.55875274143,1021043.3499426704,POINT (1021043.3499426704 213397.55875274143)
100 St & Humphreys St,218334.1932242778,1020204.1082808381,POINT (1020204.1082808381 218334.1932242778)
100 St & Lewis Ave,208866.0516945286,1023012.8369062257,POINT (1023012.8369062257 208866.0516945286)
100 St & Northern Blvd,215290.4600887738,1020678.4810811322,POINT (1020678.4810811322 215290.4600887738)
102 St & 34 Ave,214678.1469185423,1021316.3192616911,POINT (1021316.3192616911 214678.1469185423)
103 St & 41 Ave,212054.75661705824,1022268.636172621,POINT (1022268.636172621 212054.75661705824)
103 St & Martense Ave,209078.98820108696,1024015.6475065623,POINT (1024015.6475065623 209078.98820108696)
104 St & 32 Ave,215966.52514616968,1021651.7729510982,POINT (1021651.7729510982 215966.52514616968)
104 St & 38 Ave,213024.05028660945,1022367.9550729818,POINT (1022367.9550729818 213024.05028660945)
104 St & Northern Blvd,215295.7535167584,1021757.3016586722,POINT (1021757.3016586722 215295.7535167584)
107 St & 32 Ave,216180.89944293172,1022413.8419249048,POINT (1022413.8419249048 216180.89944293172)
108 St & 39 Ave,213185.6192198816,1023270.6455262962,POINT (1023270.6455262962 213185.6192198816)
11 Ave & Prospect Ave,178409.47791936615,990542.8244254588,POINT (990542.8244254588 178409.47791936615)
11 Ave & W 27 St,212993.71610835864,982652.3079878117,POINT (982652.3079878117 212993.71610835864)
11 Ave & W 41 St,216275.05802515938,984570.6632940739,POINT (984570.6632940739 216275.05802515938)
11 Ave & W 59 St,220354.1789237148,986892.2556053335,POINT (986892.2556053335 220354.1789237148)
111 St & 37 Ave,214000.66541742755,1023736.0644214504,POINT (1023736.0644214504 214000.66541742755)
111 St & 49 Ave,211142.84593565777,1025059.6645170234,POINT (1025059.6645170234 211142.84593565777)
111 St & 53 Ave,210137.9602505887,1025457.6102100868,POINT (1025457.6102100868 210137.9602505887)
111 St & Roosevelt Ave,213088.07777455763,1024234.3919548001,POINT (1024234.3919548001 213088.07777455763)
112 St & Northern Blvd,215425.13371354458,1023692.1900160089,POINT (1023692.1900160089 215425.13371354458)
114 St & 39 Ave,213722.1833479284,1024977.7488386021,POINT (1024977.7488386021 213722.1833479284)
12 Ave & 36 St,173737.95954864132,988019.2238532207,POINT (988019.2238532207 173737.95954864132)
12 Ave & W 125 St,237408.1940370099,995209.3891247436,POINT (995209.3891247436 237408.1940370099)
12 Ave & W 40 St,216500.96574258013,983450.5044485801,POINT (983450.5044485801 216500.96574258013)
12 St & 4 Ave,182866.790640129,986902.2062519577,POINT (986902.2062519577 182866.790640129)
14 St & 5 Ave,182017.12316909793,987280.6311754201,POINT (987280.6311754201 182017.12316909793)
14 St & 7 Ave,181109.5341938054,988697.6462828765,POINT (988697.6462828765 181109.5341938054)
16 St & 4 Ave,182002.34050216977,986324.9405119348,POINT (986324.9405119348 182002.34050216977)
17 St & 5 Ave,181005.05238204027,986744.9422508168,POINT (986744.9422508168 181005.05238204027)
18 St & 27 Ave,220778.9461759038,1004356.159759041,POINT (1004356.159759041 220778.9461759038)
19 St & 24 Ave,222642.85759185295,1005757.4297798901,POINT (1005757.4297798901 222642.85759185295)
19 St & 8 Ave,179203.56074596706,988233.3507825186,POINT (988233.3507825186 179203.56074596706)
2 Ave & 32 St,179410.71877552755,982406.7362551551,POINT (982406.7362551551 179410.71877552755)
2 Ave & 36 St,178755.07953309518,981884.8209566899,POINT (981884.8209566899 178755.07953309518)
2 Ave & 37 St,178409.13861235286,981559.7162617076,POINT (981559.7162617076 178409.13861235286)
2 Ave & 39 St,178177.0055037441,981491.0906293368,POINT (981491.0906293368 178177.0055037441)
2 Ave & 43 St,177120.03836216795,980651.1599226034,POINT (980651.1599226034 177120.03836216795)
2 Ave & 44 St,176986.46626246753,980498.7497859928,POINT (980498.7497859928 176986.46626246753)
2 Ave & E 104 St,226812.797059899,999837.7920776915,POINT (999837.7920776915 226812.797059899)
2 Ave & E 122 St,230957.38160569133,1002244.0419956035,POINT (1002244.0419956035 230957.38160569133)
2 Ave & E 125 St,202603.35726866557,999013.4826845175,POINT (999013.4826845175 202603.35726866557)
2 Ave & E 29 St,209519.86035687974,990340.3360993718,POINT (990340.3360993718 209519.86035687974)
2 Ave & E 96 St,224867.4009404134,998842.3540157594,POINT (998842.3540157594 224867.4009404134)
2 Ave & E 99 St,225762.72182485304,999361.3532626359,POINT (999361.3532626359 225762.72182485304)
20 Ave & 21 St,224922.70393001172,1008537.6689462309,POINT (1008537.6689462309 224922.70393001172)
20 Ave & 31 St,223470.76134940548,1010095.802492494,POINT (1010095.802492494 223470.76134940548)
20 Ave & 38 St,222472.83035564385,1011266.9598717222,POINT (1011266.9598717222 222472.83035564385)
20 Ave & 42 St,221797.45147881444,1011929.2205647441,POINT (1011929.2205647441 221797.45147881444)
20 Ave & 48 St,220924.60881954772,1012776.5973504075,POINT (1012776.5973504075 220924.60881954772)
20 Ave & Shore Blvd,225647.32496778292,1007761.2802289914,POINT (1007761.2802289914 225647.32496778292)
21 Ave & 80 St,220189.49274447464,1014780.2485875026,POINT (1014780.2485875026 220189.49274447464)
21 Ave & Crescent St,223623.30905873427,1008575.0852414833,POINT (1008575.0852414833 223623.30905873427)
21 Ave & Shore Blvd,224903.97567422353,1007277.5830365962,POINT (1007277.5830365962 224903.97567422353)
21 St & 21 Ave,224386.47343462828,1007941.1191007145,POINT (1007941.1191007145 224386.47343462828)
